has,prefers,count
Player1,Player6,32
Player2,Player1,53
Player3,Player2,12
Player4,Player3,32
Player5,Player4,41
Player6,Player5,2
Player7,Player6,1
Player8,Player7,2
Player9,Player8,2
Player10,Player9,4
Player11,Player10,1
Player12,Player11,0
Player13,Player12,2
Player14,Player13,5
Player1,Player14,14
Player2,Player3,64
Player3,Player4,21
Player4,Player5,3
Player5,Player6,2
Player6,Player7,4
Player7,Player8,5
Player8,Player9,1
Player9,Player10,3
Player10,Player11,5
Player11,Player12,6
Player12,Player13,2
Player13,Player14,1
Player14,Player1,4
Player1,Player2,24
Player2,Player4,2
Player3,Player5,4
Player4,Player6,2
Player5,Player7,6
Player6,Player8,2
Player7,Player9,12
Player8,Player10,53
Player9,Player11,63
Player10,Player12,35
Player11,Player13,22
Player12,Player14,22
Player13,Player14,11
Player14,Player4,32
Player1,Player5,53
Player2,Player6,12
Player3,Player7,32
Player4,Player8,41
Player5,Player9,2
Player6,Player10,1
Player7,Player11,2
Player8,Player12,2
Player9,Player13,4
Player10,Player14,1
Player11,Player4,0
Player12,Player5,2
Player13,Player6,5
Player14,Player7,14
Player1,Player8,64
Player2,Player9,21
Player3,Player10,3
Player4,Player11,2
Player5,Player12,4
Player6,Player13,5
Player7,Player14,1
Player8,Player4,3
Player9,Player5,5
Player10,Player6,6
Player11,Player7,2
Player12,Player8,1
Player13,Player9,4
Player14,Player10,24
Player1,Player11,2
Player2,Player12,4
Player3,Player13,2
Player4,Player14,6
Player5,Player4,2
Player6,Player5,12
Player7,Player6,53
Player8,Player7,63
Player9,Player8,35
Player10,Player9,22
Player11,Player10,22
Player12,Player11,11
Player13,Player12,32
Player14,Player13,53
Player1,Player14,12
Player2,Player1,32
Player3,Player2,41
Player4,Player3,2
Player5,Player4,1
Player6,Player5,2
Player7,Player6,2
Player8,Player1,4
Player9,Player2,1
Player10,Player3,0
Player11,Player4,2
Player12,Player5,5
Player13,Player6,14
Player14,Player1,64
